open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2025-01-01 00:00:00,93548.8,94449.2,93460.2,94363.6,5744.609,2025-01-01 00:59:59.999,539615914.4646,105263,3278.334,308056781.5427,0
2025-01-01 01:00:00,94363.6,94363.7,93545.0,93588.0,3991.464,2025-01-01 01:59:59.999,374890760.6815,83154,1523.59,143102585.0957,0
2025-01-01 02:00:00,93587.9,94082.4,93561.8,94064.4,2297.236,2025-01-01 02:59:59.999,215473738.8192,60996,1300.814,122017960.6447,0
2025-01-01 03:00:00,94064.4,94070.2,93692.6,93810.0,1928.71,2025-01-01 03:59:59.999,181033356.9306,44672,868.352,81494765.0766,0
2025-01-01 04:00:00,93810.0,93810.1,93502.0,93545.0,2241.616,2025-01-01 04:59:59.999,209948892.4697,46972,893.305,83664963.8536,0
2025-01-01 05:00:00,93544.9,93914.7,93520.3,93760.0,2482.025,2025-01-01 05:59:59.999,232669185.2913,43059,1501.761,140784316.3484,0
2025-01-01 06:00:00,93760.0,93760.0,93533.3,93734.2,1970.927,2025-01-01 06:59:59.999,184556536.1959,38487,1024.494,95935931.5495,0
2025-01-01 07:00:00,93734.2,93785.4,93627.7,93660.7,1157.915,2025-01-01 07:59:59.999,108499617.9432,28635,522.894,48997752.6578,0
2025-01-01 08:00:00,93660.7,93735.2,93258.8,93398.2,3525.325,2025-01-01 08:59:59.999,329481802.5496,64165,1403.589,131192525.441,0
2025-01-01 09:00:00,93398.2,93462.9,92796.5,93382.1,8669.812,2025-01-01 09:59:59.999,807428891.859,141598,3928.791,365976490.2701,0
2025-01-01 10:00:00,93382.1,93510.0,93250.1,93307.7,2989.11,2025-01-01 10:59:59.999,279187393.3903,58506,1348.62,125972460.9851,0
2025-01-01 11:00:00,93307.8,93692.3,93160.0,93420.1,3820.741,2025-01-01 11:59:59.999,357026122.8581,71857,1974.735,184550455.3379,0
2025-01-01 12:00:00,93420.1,93967.9,93375.0,93788.3,4760.931,2025-01-01 12:59:59.999,446223971.7664,81643,2587.981,242564020.537,0
2025-01-01 13:00:00,93788.4,94035.4,93570.0,93995.2,3460.306,2025-01-01 13:59:59.999,324528486.817,75938,1739.339,163172547.5946,0
2025-01-01 14:00:00,93995.3,94430.0,93622.7,94147.2,9401.935,2025-01-01 14:59:59.999,884544309.5481,164728,4734.803,445555671.597,0
2025-01-01 15:00:00,94147.2,94489.5,93854.4,94409.9,4503.897,2025-01-01 15:59:59.999,424177001.8647,95466,2479.455,233596227.0253,0
2025-01-01 16:00:00,94409.9,94475.0,93900.0,94070.1,4168.835,2025-01-01 16:59:59.999,392545347.8165,95832,1819.792,171361243.9819,0
2025-01-01 17:00:00,94070.1,94180.0,93729.2,94123.7,3256.958,2025-01-01 17:59:59.999,305949052.0324,78198,1586.151,149019665.9187,0
2025-01-01 18:00:00,94123.6,94375.1,93918.6,94321.6,2460.722,2025-01-01 18:59:59.999,231803151.2543,59529,1392.669,131211914.3935,0
2025-01-01 19:00:00,94321.6,94823.2,94129.7,94612.1,5021.183,2025-01-01 19:59:59.999,474534701.6228,94070,2954.962,279310218.9154,0
2025-01-01 20:00:00,94612.1,94850.0,94561.7,94767.3,2694.085,2025-01-01 20:59:59.999,255181294.8793,65573,1296.418,122805002.1342,0
2025-01-01 21:00:00,94767.3,95161.2,94661.0,94962.4,5078.627,2025-01-01 21:59:59.999,481875485.1224,88563,2825.659,268138738.7855,0
2025-01-01 22:00:00,94962.4,94985.6,94662.5,94770.6,2550.915,2025-01-01 22:59:59.999,241835811.1973,50677,1122.402,106406137.5578,0
2025-01-01 23:00:00,94770.5,94940.0,94522.1,94580.9,3058.776,2025-01-01 23:59:59.999,289604552.4009,66779,1603.571,151831100.2169,0
2025-01-02 00:00:00,94580.9,95369.4,94357.4,95112.2,9868.473,2025-01-02 00:59:59.999,936951940.3183,183113,4593.998,436275929.4342,0
2025-01-02 01:00:00,95112.2,95523.5,94698.7,94846.7,6455.116,2025-01-02 01:59:59.999,614028854.1358,131386,3199.713,304434145.3443,0
2025-01-02 02:00:00,94846.6,95222.8,94786.8,95222.7,3931.154,2025-01-02 02:59:59.999,373520632.3646,84010,2032.643,193156592.2309,0
2025-01-02 03:00:00,95222.8,95289.5,94900.0,95000.0,2543.974,2025-01-02 03:59:59.999,241814711.4176,55097,1169.708,111164271.6241,0
2025-01-02 04:00:00,95000.0,96031.4,94971.3,95698.7,9450.259,2025-01-02 04:59:59.999,903551010.5017,161544,5242.223,501265948.3073,0
2025-01-02 05:00:00,95698.7,95794.0,95380.0,95579.5,4304.61,2025-01-02 05:59:59.999,411494636.2196,92005,2105.128,201232715.9603,0
2025-01-02 06:00:00,95579.6,95691.2,95326.9,95569.0,2762.217,2025-01-02 06:59:59.999,263754842.0858,64798,1300.136,124157388.1018,0
2025-01-02 07:00:00,95569.1,95897.4,95493.2,95815.3,3623.189,2025-01-02 07:59:59.999,346967196.6327,65647,1747.719,167356296.0462,0
2025-01-02 08:00:00,95815.4,96204.2,95612.5,96125.3,6135.686,2025-01-02 08:59:59.999,588618322.9721,106507,2976.616,285568518.4175,0
2025-01-02 09:00:00,96125.2,96800.0,96012.0,96722.0,8406.161,2025-01-02 09:59:59.999,810340166.216,157266,4637.278,447104673.5168,0
2025-01-02 10:00:00,96721.9,96794.2,96515.0,96693.9,5842.919,2025-01-02 10:59:59.999,564641054.005,118118,2376.817,229715011.9695,0
2025-01-02 11:00:00,96693.9,96870.9,96438.4,96715.4,4864.523,2025-01-02 11:59:59.999,470164197.6271,93003,2247.804,217257593.1474,0
2025-01-02 12:00:00,96715.4,96888.6,96575.2,96829.9,5272.205,2025-01-02 12:59:59.999,510024528.9687,95782,2592.825,250851502.8699,0
2025-01-02 13:00:00,96830.0,96991.8,96403.9,96426.1,6788.169,2025-01-02 13:59:59.999,656090432.8761,114485,3329.538,321815607.3638,0
2025-01-02 14:00:00,96426.0,97440.0,95910.8,97216.3,26301.626,2025-01-02 14:59:59.999,2543005228.6704,438583,13411.914,1297239911.5463,0
2025-01-02 15:00:00,97216.7,97295.2,96112.4,96428.5,14355.632,2025-01-02 15:59:59.999,1387223636.1467,329446,6714.246,648754900.4184,0
2025-01-02 16:00:00,96428.5,97650.0,96018.7,97195.5,17340.669,2025-01-02 16:59:59.999,1683981125.3099,286041,9541.198,926598422.5044,0
2025-01-02 17:00:00,97195.5,97603.2,96300.0,96734.4,12161.399,2025-01-02 17:59:59.999,1177870222.4648,238571,6224.589,602990731.7182,0
2025-01-02 18:00:00,96734.4,97338.5,96372.5,97288.4,7153.047,2025-01-02 18:59:59.999,693010804.9734,174479,3802.483,368386835.0277,0
2025-01-02 19:00:00,97288.5,97777.0,97166.0,97292.7,7969.638,2025-01-02 19:59:59.999,776647808.3549,152679,4083.763,398030522.5302,0
2025-01-02 20:00:00,97292.7,97822.4,97250.0,97265.8,6730.277,2025-01-02 20:59:59.999,656487241.9614,149072,3695.549,360442994.5484,0
2025-01-02 21:00:00,97265.9,97324.8,97012.6,97180.0,3206.172,2025-01-02 21:59:59.999,311508760.3039,67393,1783.986,173321584.6386,0
2025-01-02 22:00:00,97180.0,97180.1,96642.7,96863.8,3587.248,2025-01-02 22:59:59.999,347595337.0625,69414,1766.153,171133490.5717,0
2025-01-02 23:00:00,96863.8,97057.0,96751.6,96967.5,2591.132,2025-01-02 23:59:59.999,251080878.0856,57448,1093.991,106018495.2204,0
2025-01-03 00:00:00,96967.6,97045.1,96760.0,96799.9,3127.288,2025-01-03 00:59:59.999,303029424.0113,61017,1345.345,130351037.9316,0
2025-01-03 01:00:00,96800.0,96988.0,96622.0,96960.5,3060.294,2025-01-03 01:59:59.999,296164644.3084,64543,1556.729,150677053.0799,0
2025-01-03 02:00:00,96960.6,97325.7,96825.0,96938.0,3661.927,2025-01-03 02:59:59.999,355625828.6021,74006,1804.573,175271808.4202,0
2025-01-03 03:00:00,96938.1,97065.8,96785.7,97019.1,1539.117,2025-01-03 03:59:59.999,149200027.5789,43945,719.291,69735544.484,0
2025-01-03 04:00:00,97019.1,97034.9,96721.9,96779.2,2087.706,2025-01-03 04:59:59.999,202230495.2517,50386,930.225,90103925.2354,0
2025-01-03 05:00:00,96779.3,96833.9,96555.0,96727.3,3071.717,2025-01-03 05:59:59.999,296948308.3361,61758,1386.733,134071883.2379,0
2025-01-03 06:00:00,96727.3,96884.6,96460.4,96504.8,2913.301,2025-01-03 06:59:59.999,281544950.6387,62320,1281.423,123861355.9568,0
2025-01-03 07:00:00,96504.7,96614.8,96236.6,96275.0,6420.965,2025-01-03 07:59:59.999,618919783.2648,93069,2401.03,231466130.7648,0
2025-01-03 08:00:00,96275.1,96497.0,96068.0,96090.6,5565.314,2025-01-03 08:59:59.999,535633452.446,90745,2659.544,255982889.8455,0
2025-01-03 09:00:00,96090.6,96673.8,96061.5,96511.8,4941.962,2025-01-03 09:59:59.999,476636991.4026,89714,2551.135,246013569.531,0
2025-01-03 10:00:00,96511.8,96609.9,96362.3,96443.9,2275.109,2025-01-03 10:59:59.999,219472920.8076,53409,1089.325,105085691.7785,0
2025-01-03 11:00:00,96443.8,96788.0,96439.5,96710.5,3327.347,2025-01-03 11:59:59.999,321661236.7078,65588,1851.877,179008431.8667,0
2025-01-03 12:00:00,96710.4,96886.1,96615.3,96615.4,3329.887,2025-01-03 12:59:59.999,322161919.3153,65854,1380.028,133533552.4537,0
2025-01-03 13:00:00,96615.3,96797.6,96422.5,96464.1,4620.659,2025-01-03 13:59:59.999,446214211.1774,101151,2198.089,212281633.2612,0
2025-01-03 14:00:00,96464.0,97321.0,96464.0,96970.4,12345.567,2025-01-03 14:59:59.999,1196727244.0441,230412,6409.896,621358820.8717,0
2025-01-03 15:00:00,96970.4,97637.7,96707.3,97479.5,13608.294,2025-01-03 15:59:59.999,1323288801.251,275449,7144.494,694911536.2488,0
2025-01-03 16:00:00,97479.6,98423.0,97353.6,97822.3,16372.957,2025-01-03 16:59:59.999,1604315836.0366,297731,8566.197,839387928.2204,0
2025-01-03 17:00:00,97822.4,98259.8,97784.3,97986.8,5541.175,2025-01-03 17:59:59.999,543250089.0067,129167,3075.772,301542992.381,0
2025-01-03 18:00:00,97986.8,98665.0,97955.0,98483.7,6684.239,2025-01-03 18:59:59.999,657531048.7441,130927,3574.172,351627106.8877,0
2025-01-03 19:00:00,98483.7,98949.0,98451.9,98545.5,7942.652,2025-01-03 19:59:59.999,784083267.6838,139949,4122.397,406992424.9771,0
2025-01-03 20:00:00,98545.6,98705.0,98248.5,98269.5,5463.411,2025-01-03 20:59:59.999,537802563.7225,108428,2836.503,279216991.7242,0
2025-01-03 21:00:00,98269.5,98383.2,98143.6,98222.7,2800.3,2025-01-03 21:59:59.999,275089910.6181,59295,1573.995,154628587.3973,0
2025-01-03 22:00:00,98222.6,98481.1,98200.0,98258.8,2056.984,2025-01-03 22:59:59.999,202275343.8676,46795,960.625,94469107.7581,0
2025-01-03 23:00:00,98258.8,98341.0,98028.5,98145.7,2462.502,2025-01-03 23:59:59.999,241699969.4981,51845,1216.252,119376957.3653,0
2025-01-04 00:00:00,98145.7,98260.0,97828.1,97912.0,4278.998,2025-01-04 00:59:59.999,419525738.0678,67525,1705.928,167281000.0183,0
2025-01-04 01:00:00,97912.1,98062.7,97762.1,97990.4,2329.236,2025-01-04 01:59:59.999,228072069.3752,52011,1196.641,117178504.5845,0
2025-01-04 02:00:00,97990.4,98272.6,97811.0,98267.4,2660.099,2025-01-04 02:59:59.999,260812813.3466,53644,1423.404,139586678.4071,0
2025-01-04 03:00:00,98267.5,98267.5,98000.1,98149.4,2528.278,2025-01-04 03:59:59.999,248097754.8855,40858,1067.793,104761758.4342,0
2025-01-04 04:00:00,98149.3,98149.4,97830.0,97970.5,2278.305,2025-01-04 04:59:59.999,223144101.7913,46626,926.79,90762746.0965,0
2025-01-04 05:00:00,97970.4,98162.4,97950.0,98087.3,1901.725,2025-01-04 05:59:59.999,186510906.7694,39954,1048.696,102847351.829,0
2025-01-04 06:00:00,98087.3,98177.1,98003.2,98089.9,1419.475,2025-01-04 06:59:59.999,139206563.7192,33498,704.922,69134205.8311,0
2025-01-04 07:00:00,98089.9,98300.0,98062.8,98244.2,2143.615,2025-01-04 07:59:59.999,210479687.029,41677,1043.641,102476134.661,0
2025-01-04 08:00:00,98244.2,98300.0,97853.0,97870.0,3366.568,2025-01-04 08:59:59.999,330149904.9763,57909,1251.617,122787061.6192,0
2025-01-04 09:00:00,97870.0,97950.0,97438.2,97644.3,6694.994,2025-01-04 09:59:59.999,654358610.625,96623,3090.88,302109395.3813,0
2025-01-04 10:00:00,97644.3,97813.0,97543.1,97740.0,2618.766,2025-01-04 10:59:59.999,255844304.2264,60285,1377.055,134540784.0583,0
2025-01-04 11:00:00,97739.9,97875.0,97650.8,97831.8,1946.401,2025-01-04 11:59:59.999,190294390.0511,42698,981.941,96008085.2079,0
2025-01-04 12:00:00,97831.8,97971.9,97751.4,97835.2,2700.114,2025-01-04 12:59:59.999,264206123.9289,63849,1196.965,117123053.6766,0
2025-01-04 13:00:00,97835.1,98032.1,97698.3,97924.4,3313.132,2025-01-04 13:59:59.999,324194916.0188,70379,1734.153,169717293.3631,0
2025-01-04 14:00:00,97924.3,98054.1,97777.0,97992.0,2487.961,2025-01-04 14:59:59.999,243653458.7451,58365,1311.464,128451610.2114,0
2025-01-04 15:00:00,97992.0,98117.6,97472.0,97623.6,6723.905,2025-01-04 15:59:59.999,657047860.6021,138274,3208.504,313591330.5162,0
2025-01-04 16:00:00,97623.5,97822.2,97535.7,97677.9,2797.839,2025-01-04 16:59:59.999,273276177.2507,70229,1420.255,138721991.8599,0
2025-01-04 17:00:00,97677.8,98018.0,97645.1,97982.5,1963.982,2025-01-04 17:59:59.999,192148619.727,46303,1121.5,109739360.5063,0
2025-01-04 18:00:00,97982.6,98106.0,97858.0,97931.9,2477.423,2025-01-04 18:59:59.999,242768351.2683,50079,1127.816,110528498.4071,0
2025-01-04 19:00:00,97931.9,98334.6,97891.1,98120.3,2747.821,2025-01-04 19:59:59.999,269722298.7378,56610,1533.981,150592671.1504,0
2025-01-04 20:00:00,98120.4,98662.0,98120.3,98577.4,4884.202,2025-01-04 20:59:59.999,480736607.7558,83432,2830.541,278594988.7927,0
2025-01-04 21:00:00,98577.4,98760.9,98300.0,98335.8,3607.559,2025-01-04 21:59:59.999,355411394.549,73290,1573.252,155035033.9291,0
2025-01-04 22:00:00,98335.8,98461.1,98232.0,98372.5,1780.797,2025-01-04 22:59:59.999,175104533.9037,35675,879.597,86498869.7059,0
2025-01-04 23:00:00,98372.4,98390.5,98076.4,98173.2,2263.439,2025-01-04 23:59:59.999,222299927.8075,45443,851.195,83597719.516,0
2025-01-05 00:00:00,98173.2,98349.8,98108.3,98178.3,1534.445,2025-01-05 00:59:59.999,150713724.3085,38790,711.043,69843864.3643,0
2025-01-05 01:00:00,98178.3,98287.7,98001.1,98086.6,2034.128,2025-01-05 01:59:59.999,199580083.4764,40690,899.918,88305803.3912,0
2025-01-05 02:00:00,98086.6,98196.7,98067.0,98195.5,1087.736,2025-01-05 02:59:59.999,106741262.8853,28716,679.301,66661166.0238,0
2025-01-05 03:00:00,98195.5,98200.0,98030.0,98160.1,1000.43,2025-01-05 03:59:59.999,98162324.0302,27088,501.346,49192186.67,0
2025-01-05 04:00:00,98160.0,98496.3,98160.0,98319.6,3094.445,2025-01-05 04:59:59.999,304290054.2601,51991,1380.769,135781931.568,0
